Title Name	Print ISSN	Online ISSN	Format	Publisher	Fund Code	Subject	Start Date	ILS Number	Account Number	Order Number	Subscription Type	Total Cost	Currency	Title Number
"Action Research                                                                                                         "	"1476-7503"	"1741-2617"	"Online"	"SAGE PUBLICATIONS LTD                                                                               "	""	"SOCIAL SCIENCES (GENERAL)"	"01/01/2019"	""	"RB92075-68"	"K4957004 "	"Access Only"	"0.00"	""	"011-673-555"
"Advances in Developing Human Resources                                                                                  "	"1523-4223"	"1552-3055"	"Online"	"SAGE PERIODICALS INC                                                                                "	""	"COMMERCE"	"01/01/2019"	""	"RB92075-68"	"K4949217 "	"Access Only"	"0.00"	""	"015-807-357"
"Business and Society                                                                                                    "	"0007-6503"	"1552-4205"	"Online"	"SAGE PERIODICALS INC                                                                                "	""	"COMMERCE"	"01/01/2019"	""	"RB92075-68"	"K4949971 "	"Access Only"	"0.00"	""	"161-415-096"
"Compensation and Benefits Review                                                                                        "	"0886-3687"	"1552-3837"	"Online"	"SAGE PERIODICALS INC                                                                                "	""	"ECONOMIC HISTORY AND CONDITIONS (PRODUCTION)"	"01/01/2019"	""	"RB92075-68"	"K4950522 "	"Access Only"	"0.00"	""	"226-198-885"
"Cornell Hospitality Quarterly                                                                                           "	"1938-9655"	"1938-9663"	"Online"	"SAGE PERIODICALS INC                                                                                "	""	"HOME ECONOMICS"	"01/01/2019"	""	"RB92075-68"	"K4950593 "	"Access Only"	"0.00"	""	"239-272-911"
"Economic and Industrial Democracy                                                                                       "	"0143-831X"	"1461-7099"	"Online"	"SAGE PUBLICATIONS LTD                                                                               "	""	"ECONOMIC HISTORY AND CONDITIONS (PRODUCTION)"	"01/01/2019"	""	"RB92075-68"	"K4959012 "	"Access Only"	"0.00"	""	"290-169-390"
"European Journal of Industrial Relations                                                                                "	"0959-6801"	"1461-7129"	"Online"	"SAGE PUBLICATIONS LTD                                                                               "	""	"ECONOMIC HISTORY AND CONDITIONS (PRODUCTION)"	"01/01/2019"	""	"RB92075-68"	"K4959465 "	"Access Only"	"0.00"	""	"318-353-653"
"Group & Organization Management                                                                                         "	"1059-6011"	"1552-3993"	"Online"	"SAGE PERIODICALS INC                                                                                "	""	"SOCIOLOGY (GENERAL AND THEORETICAL)"	"01/01/2019"	""	"RB92075-68"	"K4951498 "	"Access Only"	"0.00"	""	"378-470-108"
"Human Relations                                                                                                         "	"0018-7267"	"1741-282X"	"Online"	"SAGE PUBLICATIONS LTD                                                                               "	""	"SOCIAL SCIENCES (GENERAL)"	"01/01/2019"	""	"RB92075-68"	"K4960408 "	"Access Only"	"0.00"	""	"404-718-033"
"Human Resource Development Review                                                                                       "	"1534-4843"	"1552-6712"	"Online"	"SAGE PERIODICALS INC                                                                                "	""	"COMMERCE"	"01/01/2019"	""	"RB92075-68"	"K4951737 "	"Access Only"	"0.00"	""	"404-808-925"
"International Journal of Cross Cultural Management                                                                      "	"1470-5958"	"1741-2838"	"Online"	"SAGE PUBLICATIONS LTD                                                                               "	""	"ECONOMIC HISTORY AND CONDITIONS (PRODUCTION)"	"01/01/2019"	""	"RB92075-68"	"K4960859 "	"Access Only"	"0.00"	""	"441-903-614"
